date,github_commits
2020-01-01,25
2020-01-02,36
2020-01-03,36
2020-01-04,32
2020-01-05,24
2020-01-06,36
2020-01-07,35
2020-01-08,38
2020-01-09,37
2020-01-10,35
2020-01-11,29
2020-01-12,28
2020-01-13,36
2020-01-14,37
2020-01-15,37
2020-01-16,35
2020-01-17,36
2020-01-18,28
2020-01-19,27
2020-01-20,34
2020-01-21,36
2020-01-22,37
2020-01-23,36
2020-01-24,34
2020-01-25,32
2020-01-26,24
2020-01-27,34
2020-01-28,37
2020-01-29,34
2020-01-30,39
2020-01-31,36
2020-02-01,32
2020-02-02,29
2020-02-03,37
2020-02-04,36
2020-02-05,37
2020-02-06,39
2020-02-07,36
2020-02-08,25
2020-02-09,29
2020-02-10,40
2020-02-11,37
2020-02-12,38
2020-02-13,38
2020-02-14,35
2020-02-15,31
2020-02-16,29
2020-02-17,35
2020-02-18,38
2020-02-19,38
2020-02-20,38
2020-02-21,37
2020-02-22,31
2020-02-23,28
2020-02-24,40
2020-02-25,38
2020-02-26,37
2020-02-27,39
2020-02-28,37
2020-02-29,34
2020-03-01,30
2020-03-02,41
2020-03-03,37
2020-03-04,40
2020-03-05,39
2020-03-06,37
2020-03-07,32
2020-03-08,29
2020-03-09,38
2020-03-10,38
2020-03-11,42
2020-03-12,39
2020-03-13,38
2020-03-14,33
2020-03-15,30
2020-03-16,36
2020-03-17,34
2020-03-18,39
2020-03-19,38
2020-03-20,38
2020-03-21,33
2020-03-22,32
2020-03-23,39
2020-03-24,40
2020-03-25,39
2020-03-26,39
2020-03-27,37
2020-03-28,36
2020-03-29,30
2020-03-30,40
2020-03-31,38
2020-04-01,39
2020-04-02,38
2020-04-03,36
2020-04-04,34
2020-04-05,32
2020-04-06,38
2020-04-07,42
2020-04-08,39
2020-04-09,37
2020-04-10,39
2020-04-11,34
2020-04-12,25
2020-04-13,35
2020-04-14,42
2020-04-15,39
2020-04-16,40
2020-04-17,40
2020-04-18,32
2020-04-19,30
2020-04-20,41
2020-04-21,40
2020-04-22,39
2020-04-23,37
2020-04-24,38
2020-04-25,33
2020-04-26,36
2020-04-27,37
2020-04-28,40
2020-04-29,39
2020-04-30,39
2020-05-01,41
2020-05-02,33
2020-05-03,31
2020-05-04,41
2020-05-05,39
2020-05-06,40
2020-05-07,39
2020-05-08,39
2020-05-09,34
2020-05-10,33
2020-05-11,38
2020-05-12,40
2020-05-13,38
2020-05-14,40
2020-05-15,40
2020-05-16,32
2020-05-17,31
2020-05-18,41
2020-05-19,40
2020-05-20,39
2020-05-21,36
2020-05-22,37
2020-05-23,32
2020-05-24,26
2020-05-25,33
2020-05-26,41
2020-05-27,40
2020-05-28,41
2020-05-29,36
2020-05-30,30
2020-05-31,30
2020-06-01,36
2020-06-02,39
2020-06-03,42
2020-06-04,37
2020-06-05,38
2020-06-06,35
2020-06-07,31
2020-06-08,38
2020-06-09,39
2020-06-10,40
2020-06-11,37
2020-06-12,39
2020-06-13,32
2020-06-14,27
2020-06-15,40
2020-06-16,37
2020-06-17,40
2020-06-18,41
2020-06-19,39
2020-06-20,29
2020-06-21,27
2020-06-22,38
2020-06-23,38
2020-06-24,42
2020-06-25,38
2020-06-26,36
2020-06-27,28
2020-06-28,29
2020-06-29,39
2020-06-30,39
2020-07-01,41
2020-07-02,37
2020-07-03,35
2020-07-04,29
2020-07-05,28
2020-07-06,38
2020-07-07,38
2020-07-08,38
2020-07-09,39
2020-07-10,37
2020-07-11,31
2020-07-12,30
2020-07-13,38
2020-07-14,41
2020-07-15,41
2020-07-16,39
2020-07-17,38
2020-07-18,27
2020-07-19,25
2020-07-20,39
2020-07-21,40
2020-07-22,40
2020-07-23,40
2020-07-24,37
2020-07-25,25
2020-07-26,27
2020-07-27,40
2020-07-28,41
2020-07-29,38
2020-07-30,38
2020-07-31,40
2020-08-01,34
2020-08-02,31
2020-08-03,38
2020-08-04,39
2020-08-05,41
2020-08-06,40
2020-08-07,42
2020-08-08,30
2020-08-09,26
2020-08-10,38
2020-08-11,39
2020-08-12,38
2020-08-13,41
2020-08-14,37
2020-08-15,30
2020-08-16,28
2020-08-17,40
2020-08-18,39
2020-08-19,39
2020-08-20,42
2020-08-21,38
2020-08-22,33
2020-08-23,28
2020-08-24,39
2020-08-25,39
2020-08-26,41
2020-08-27,41
2020-08-28,42
2020-08-29,27
2020-08-30,26
2020-08-31,42
2020-09-01,40
2020-09-02,40
2020-09-03,38
2020-09-04,38
2020-09-05,29
2020-09-06,28
2020-09-07,37
2020-09-08,39
2020-09-09,41
2020-09-10,40
2020-09-11,38
2020-09-12,32
2020-09-13,30
2020-09-14,40
2020-09-15,40
2020-09-16,40
2020-09-17,36
2020-09-18,37
2020-09-19,28
2020-09-20,29
2020-09-21,40
2020-09-22,40
2020-09-23,40
2020-09-24,38
2020-09-25,38
2020-09-26,30
2020-09-27,31
2020-09-28,41
2020-09-29,41
2020-09-30,39
2020-10-01,38
2020-10-02,40
2020-10-03,29
2020-10-04,32
2020-10-05,41
2020-10-06,39
2020-10-07,38
2020-10-08,38
2020-10-09,40
2020-10-10,31
2020-10-11,25
2020-10-12,39
2020-10-13,39
2020-10-14,39
2020-10-15,41
2020-10-16,36
2020-10-17,33
2020-10-18,30
2020-10-19,39
2020-10-20,42
2020-10-21,38
2020-10-22,41
2020-10-23,36
2020-10-24,34
2020-10-25,28
2020-10-26,38
2020-10-27,41
2020-10-28,38
2020-10-29,41
2020-10-30,36
2020-10-31,37
2020-11-01,30
2020-11-02,40
2020-11-03,40
2020-11-04,38
2020-11-05,40
2020-11-06,37
2020-11-07,28
2020-11-08,29
2020-11-09,41
2020-11-10,41
2020-11-11,38
2020-11-12,40
2020-11-13,37
2020-11-14,32
2020-11-15,29
2020-11-16,39
2020-11-17,41
2020-11-18,40
2020-11-19,38
2020-11-20,39
2020-11-21,29
2020-11-22,31
2020-11-23,37
2020-11-24,37
2020-11-25,37
2020-11-26,38
2020-11-27,33
2020-11-28,24
2020-11-29,26
2020-11-30,39
2020-12-01,39
2020-12-02,40
2020-12-03,41
2020-12-04,36
2020-12-05,29
2020-12-06,27
2020-12-07,39
2020-12-08,40
2020-12-09,39
2020-12-10,40
2020-12-11,40
2020-12-12,32
2020-12-13,27
2020-12-14,39
2020-12-15,40
2020-12-16,40
2020-12-17,38
2020-12-18,38
2020-12-19,29
2020-12-20,27
2020-12-21,38
2020-12-22,39
2020-12-23,33
2020-12-24,29
2020-12-25,26
2020-12-26,22
2020-12-27,22
2020-12-28,33
2020-12-29,33
2020-12-30,33
2020-12-31,27
2021-01-01,25
2021-01-02,22
2021-01-03,29
2021-01-04,39
2021-01-05,39
2021-01-06,38
2021-01-07,38
2021-01-08,35
2021-01-09,31
2021-01-10,31
2021-01-11,39
2021-01-12,40
2021-01-13,41
2021-01-14,40
2021-01-15,41
2021-01-16,30
2021-01-17,24
2021-01-18,36
2021-01-19,39
2021-01-20,40
2021-01-21,39
2021-01-22,38
2021-01-23,31
2021-01-24,27
2021-01-25,38
2021-01-26,39
2021-01-27,41
2021-01-28,39
2021-01-29,42
2021-01-30,34
2021-01-31,29
2021-02-01,38
2021-02-02,40
2021-02-03,39
2021-02-04,40
2021-02-05,39
2021-02-06,24
2021-02-07,31
2021-02-08,39
2021-02-09,43
2021-02-10,40
2021-02-11,38
2021-02-12,36
2021-02-13,28
2021-02-14,25
2021-02-15,36
2021-02-16,39
2021-02-17,39
2021-02-18,37
2021-02-19,39
2021-02-20,30
2021-02-21,34
2021-02-22,40
2021-02-23,41
2021-02-24,40
2021-02-25,37
2021-02-26,39
2021-02-27,31
2021-02-28,29
2021-03-01,41
2021-03-02,38
2021-03-03,36
2021-03-04,36
2021-03-05,38
2021-03-06,33
2021-03-07,31
2021-03-08,41
2021-03-09,41
2021-03-10,42
2021-03-11,36
2021-03-12,40
2021-03-13,32
2021-03-14,29
2021-03-15,42
2021-03-16,41
2021-03-17,39
2021-03-18,39
2021-03-19,38
2021-03-20,30
2021-03-21,27
2021-03-22,40
2021-03-23,39
2021-03-24,42
2021-03-25,40
2021-03-26,39
2021-03-27,28
2021-03-28,31
2021-03-29,40
2021-03-30,42
2021-03-31,43
2021-04-01,41
2021-04-02,36
2021-04-03,24
2021-04-04,32
2021-04-05,37
2021-04-06,43
2021-04-07,39
2021-04-08,42
2021-04-09,38
2021-04-10,28
2021-04-11,31
2021-04-12,40
2021-04-13,40
2021-04-14,41
2021-04-15,42
2021-04-16,43
2021-04-17,27
2021-04-18,28
2021-04-19,38
2021-04-20,43
2021-04-21,42
2021-04-22,42
2021-04-23,43
2021-04-24,30
2021-04-25,34
2021-04-26,43
2021-04-27,40
2021-04-28,41
2021-04-29,44
2021-04-30,42
2021-05-01,30
2021-05-02,30
2021-05-03,42
2021-05-04,38
2021-05-05,38
2021-05-06,44
2021-05-07,43
2021-05-08,33
2021-05-09,28
2021-05-10,42
2021-05-11,42
2021-05-12,42
2021-05-13,41
2021-05-14,39
2021-05-15,28
2021-05-16,27
2021-05-17,41
2021-05-18,43
2021-05-19,41
2021-05-20,42
2021-05-21,40
2021-05-22,32
2021-05-23,30
2021-05-24,42
2021-05-25,43
2021-05-26,39
2021-05-27,41
2021-05-28,39
2021-05-29,24
2021-05-30,23
2021-05-31,38
2021-06-01,45
2021-06-02,43
2021-06-03,41
2021-06-04,42
2021-06-05,34
2021-06-06,31
2021-06-07,45
2021-06-08,41
2021-06-09,42
2021-06-10,42
2021-06-11,41
2021-06-12,33
2021-06-13,29
2021-06-14,41
2021-06-15,44
2021-06-16,41
2021-06-17,42
2021-06-18,40
2021-06-19,33
2021-06-20,34
2021-06-21,40
2021-06-22,44
2021-06-23,41
2021-06-24,39
2021-06-25,39
2021-06-26,33
2021-06-27,29
2021-06-28,41
2021-06-29,41
2021-06-30,38
2021-07-01,44
2021-07-02,36
2021-07-03,31
2021-07-04,30
2021-07-05,35
2021-07-06,43
2021-07-07,44
2021-07-08,42
2021-07-09,41
2021-07-10,34
2021-07-11,26
2021-07-12,40
2021-07-13,41
2021-07-14,37
2021-07-15,39
2021-07-16,38
2021-07-17,28
2021-07-18,24
2021-07-19,40
2021-07-20,42
2021-07-21,41
2021-07-22,40
2021-07-23,39
2021-07-24,30
2021-07-25,31
2021-07-26,43
2021-07-27,37
2021-07-28,40
2021-07-29,43
2021-07-30,41
2021-07-31,24
2021-08-01,32
2021-08-02,41
2021-08-03,42
2021-08-04,43
2021-08-05,45
2021-08-06,44
2021-08-07,28
2021-08-08,26
2021-08-09,41
2021-08-10,43
2021-08-11,40
2021-08-12,39
2021-08-13,38
2021-08-14,33
2021-08-15,30
2021-08-16,39
2021-08-17,40
2021-08-18,44
2021-08-19,36
2021-08-20,41
2021-08-21,29
2021-08-22,27
2021-08-23,40
2021-08-24,43
2021-08-25,42
2021-08-26,40
2021-08-27,37
2021-08-28,33
2021-08-29,31
2021-08-30,41
2021-08-31,41
2021-09-01,40
2021-09-02,43
2021-09-03,41
2021-09-04,33
2021-09-05,27
2021-09-06,37
2021-09-07,44
2021-09-08,42
2021-09-09,44
2021-09-10,43
2021-09-11,31
2021-09-12,29
2021-09-13,43
2021-09-14,45
2021-09-15,42
2021-09-16,41
2021-09-17,41
2021-09-18,28
2021-09-19,28
2021-09-20,41
2021-09-21,40
2021-09-22,43
2021-09-23,43
2021-09-24,42
2021-09-25,29
2021-09-26,34
2021-09-27,43
2021-09-28,42
2021-09-29,41
2021-09-30,40
2021-10-01,42
2021-10-02,36
2021-10-03,33
2021-10-04,41
2021-10-05,46
2021-10-06,43
2021-10-07,41
2021-10-08,41
2021-10-09,34
2021-10-10,27
2021-10-11,41
2021-10-12,43
2021-10-13,45
2021-10-14,41
2021-10-15,40
2021-10-16,32
2021-10-17,26
2021-10-18,42
2021-10-19,43
2021-10-20,43
2021-10-21,41
2021-10-22,39
2021-10-23,28
2021-10-24,33
2021-10-25,41
2021-10-26,39
2021-10-27,41
2021-10-28,42
2021-10-29,40
2021-10-30,34
2021-10-31,27
2021-11-01,40
2021-11-02,42
2021-11-03,42
2021-11-04,38
2021-11-05,44
2021-11-06,33
2021-11-07,28
2021-11-08,43
2021-11-09,42
2021-11-10,39
2021-11-11,40
2021-11-12,40
2021-11-13,31
2021-11-14,27
2021-11-15,44
2021-11-16,45
2021-11-17,42
2021-11-18,42
2021-11-19,42
2021-11-20,35
2021-11-21,24
2021-11-22,39
2021-11-23,42
2021-11-24,40
2021-11-25,40
2021-11-26,34
2021-11-27,29
2021-11-28,32
2021-11-29,41
2021-11-30,40
2021-12-01,41
2021-12-02,42
2021-12-03,43
2021-12-04,33
2021-12-05,28
2021-12-06,42
2021-12-07,43
2021-12-08,40
2021-12-09,42
2021-12-10,44
2021-12-11,32
2021-12-12,23
2021-12-13,40
2021-12-14,42
2021-12-15,45
2021-12-16,43
2021-12-17,44
2021-12-18,31
2021-12-19,25
2021-12-20,39
2021-12-21,40
2021-12-22,39
2021-12-23,43
2021-12-24,33
2021-12-25,20
2021-12-26,20
2021-12-27,31
2021-12-28,33
2021-12-29,34
2021-12-30,35
2021-12-31,31
2022-01-01,22
2022-01-02,23
2022-01-03,39
2022-01-04,44
2022-01-05,42
2022-01-06,40
2022-01-07,43
2022-01-08,31
2022-01-09,22
2022-01-10,43
2022-01-11,45
2022-01-12,42
2022-01-13,44
2022-01-14,43
2022-01-15,34
2022-01-16,26
2022-01-17,37
2022-01-18,39
2022-01-19,42
2022-01-20,39
2022-01-21,39
2022-01-22,29
2022-01-23,25
2022-01-24,39
2022-01-25,40
2022-01-26,41
2022-01-27,45
2022-01-28,40
2022-01-29,33
2022-01-30,31
2022-01-31,41
2022-02-01,41
2022-02-02,41
2022-02-03,42
2022-02-04,38
2022-02-05,34
2022-02-06,26
2022-02-07,45
2022-02-08,44
2022-02-09,43
2022-02-10,43
2022-02-11,45
2022-02-12,30
2022-02-13,31
2022-02-14,42
2022-02-15,41
2022-02-16,43
2022-02-17,43
2022-02-18,41
2022-02-19,32
2022-02-20,31
2022-02-21,41
2022-02-22,44
2022-02-23,43
2022-02-24,43
2022-02-25,40
2022-02-26,32
2022-02-27,28
2022-02-28,38
2022-03-01,41
2022-03-02,42
2022-03-03,42
2022-03-04,40
2022-03-05,36
2022-03-06,26
2022-03-07,41
2022-03-08,44
2022-03-09,44
2022-03-10,41
2022-03-11,39
2022-03-12,32
2022-03-13,35
2022-03-14,41
2022-03-15,43
2022-03-16,41
2022-03-17,44
2022-03-18,39
2022-03-19,27
2022-03-20,29
2022-03-21,38
2022-03-22,42
2022-03-23,41
2022-03-24,41
2022-03-25,46
2022-03-26,35
2022-03-27,29
2022-03-28,46
2022-03-29,44
2022-03-30,42
2022-03-31,43
2022-04-01,42
2022-04-02,33
2022-04-03,30
2022-04-04,43
2022-04-05,40
2022-04-06,42
2022-04-07,44
2022-04-08,42
2022-04-09,29
2022-04-10,26
2022-04-11,45
2022-04-12,46
2022-04-13,43
2022-04-14,40
2022-04-15,39
2022-04-16,27
2022-04-17,30
2022-04-18,38
2022-04-19,40
2022-04-20,39
2022-04-21,38
2022-04-22,38
2022-04-23,30
2022-04-24,28
2022-04-25,40
2022-04-26,39
2022-04-27,41
2022-04-28,45
2022-04-29,39
2022-04-30,33
2022-05-01,30
2022-05-02,40
2022-05-03,46
2022-05-04,44
2022-05-05,41
2022-05-06,40
2022-05-07,29
2022-05-08,30
2022-05-09,38
2022-05-10,44
2022-05-11,41
2022-05-12,39
2022-05-13,41
2022-05-14,31
2022-05-15,28
2022-05-16,40
2022-05-17,37
2022-05-18,37
2022-05-19,41
2022-05-20,39
2022-05-21,31
2022-05-22,26
2022-05-23,42
2022-05-24,42
2022-05-25,41
2022-05-26,39
2022-05-27,39
2022-05-28,35
2022-05-29,28
2022-05-30,40
2022-05-31,46
2022-06-01,46
2022-06-02,40
2022-06-03,39
2022-06-04,30
2022-06-05,28
2022-06-06,40
2022-06-07,42
2022-06-08,40
2022-06-09,41
2022-06-10,37
2022-06-11,27
2022-06-12,31
2022-06-13,39
2022-06-14,40
2022-06-15,43
2022-06-16,40
2022-06-17,40
2022-06-18,32
2022-06-19,26
2022-06-20,36
2022-06-21,40
2022-06-22,41
2022-06-23,38
2022-06-24,38
2022-06-25,31
2022-06-26,31
2022-06-27,40
2022-06-28,43
2022-06-29,38
2022-06-30,44
2022-07-01,40
2022-07-02,29
2022-07-03,29
2022-07-04,38
2022-07-05,41
2022-07-06,42
2022-07-07,42
2022-07-08,39
2022-07-09,32
2022-07-10,30
2022-07-11,42
2022-07-12,41
2022-07-13,41
2022-07-14,38
2022-07-15,42
2022-07-16,24
2022-07-17,24
2022-07-18,41
2022-07-19,41
2022-07-20,41
2022-07-21,38
2022-07-22,39
2022-07-23,29
2022-07-24,24
2022-07-25,40
2022-07-26,44
2022-07-27,41
2022-07-28,39
2022-07-29,41
2022-07-30,31
2022-07-31,27
2022-08-01,43
2022-08-02,45
2022-08-03,42
2022-08-04,40
2022-08-05,41
2022-08-06,26
2022-08-07,25
2022-08-08,40
2022-08-09,43
2022-08-10,42
2022-08-11,38
2022-08-12,40
2022-08-13,31
2022-08-14,29
2022-08-15,41
2022-08-16,40
2022-08-17,41
2022-08-18,40
2022-08-19,41
2022-08-20,28
2022-08-21,28
2022-08-22,43
2022-08-23,42
2022-08-24,43
2022-08-25,39
2022-08-26,40
2022-08-27,27
2022-08-28,30
2022-08-29,43
2022-08-30,44
2022-08-31,43
2022-09-01,42
2022-09-02,42
2022-09-03,31
2022-09-04,28
2022-09-05,36
2022-09-06,43
2022-09-07,42
2022-09-08,41
2022-09-09,41
2022-09-10,32
2022-09-11,27
2022-09-12,38
2022-09-13,41
2022-09-14,42
2022-09-15,42
2022-09-16,41
2022-09-17,30
2022-09-18,27
2022-09-19,41
2022-09-20,39
2022-09-21,43
2022-09-22,42
2022-09-23,42
2022-09-24,27
2022-09-25,26
2022-09-26,41
2022-09-27,42
2022-09-28,42
2022-09-29,41
2022-09-30,39
2022-10-01,34
2022-10-02,30
2022-10-03,42
2022-10-04,42
2022-10-05,39
2022-10-06,43
2022-10-07,42
2022-10-08,31
2022-10-09,31
2022-10-10,43
2022-10-11,43
2022-10-12,44
2022-10-13,41
2022-10-14,43
2022-10-15,35
2022-10-16,33
2022-10-17,42
2022-10-18,43
2022-10-19,44
2022-10-20,41
2022-10-21,39
2022-10-22,32
2022-10-23,33
2022-10-24,42
2022-10-25,44
2022-10-26,41
2022-10-27,40
2022-10-28,41
2022-10-29,31
2022-10-30,30
2022-10-31,37
2022-11-01,45
2022-11-02,41
2022-11-03,42
2022-11-04,40
2022-11-05,29
2022-11-06,29
2022-11-07,43
2022-11-08,43
2022-11-09,44
2022-11-10,42
2022-11-11,40
2022-11-12,32
2022-11-13,24
2022-11-14,43
2022-11-15,43
2022-11-16,39
2022-11-17,43
2022-11-18,41
2022-11-19,29
2022-11-20,31
2022-11-21,42
2022-11-22,43
2022-11-23,40
2022-11-24,38
2022-11-25,37
2022-11-26,26
2022-11-27,31
2022-11-28,39
2022-11-29,42
2022-11-30,41
2022-12-01,44
2022-12-02,40
2022-12-03,32
2022-12-04,24
2022-12-05,43
2022-12-06,42
2022-12-07,42
2022-12-08,42
2022-12-09,43
2022-12-10,29
2022-12-11,27
2022-12-12,45
2022-12-13,40
2022-12-14,43
2022-12-15,40
2022-12-16,43
2022-12-17,33
2022-12-18,30
2022-12-19,41
2022-12-20,42
2022-12-21,38
2022-12-22,42
2022-12-23,34
2022-12-24,27
2022-12-25,23
2022-12-26,28
2022-12-27,35
2022-12-28,35
2022-12-29,36
2022-12-30,34
2022-12-31,29
2023-01-01,23
2023-01-02,34
2023-01-03,46
2023-01-04,43
2023-01-05,41
2023-01-06,42
2023-01-07,30
2023-01-08,28
2023-01-09,45
2023-01-10,45
2023-01-11,45
2023-01-12,45
2023-01-13,45
2023-01-14,33
2023-01-15,31
2023-01-16,43
2023-01-17,43
2023-01-18,43
2023-01-19,41
2023-01-20,44
2023-01-21,31
2023-01-22,32
2023-01-23,43
2023-01-24,37
2023-01-25,45
2023-01-26,41
2023-01-27,39
2023-01-28,31
2023-01-29,24
2023-01-30,40
2023-01-31,42
2023-02-01,43
2023-02-02,43
2023-02-03,41
2023-02-04,33
2023-02-05,33
2023-02-06,44
2023-02-07,45
2023-02-08,42
2023-02-09,45
2023-02-10,42
2023-02-11,33
2023-02-12,29
2023-02-13,41
2023-02-14,43
2023-02-15,43
2023-02-16,42
2023-02-17,43
2023-02-18,32
2023-02-19,25
2023-02-20,41
2023-02-21,44
2023-02-22,42
2023-02-23,44
2023-02-24,42
2023-02-25,33
2023-02-26,33
2023-02-27,42
2023-02-28,39
2023-03-01,43
2023-03-02,44
2023-03-03,43
2023-03-04,37
2023-03-05,27
2023-03-06,40
2023-03-07,42
2023-03-08,46
2023-03-09,41
2023-03-10,42
2023-03-11,36
2023-03-12,33
2023-03-13,42
2023-03-14,42
2023-03-15,41
2023-03-16,41
2023-03-17,39
2023-03-18,32
2023-03-19,32
2023-03-20,45
2023-03-21,44
2023-03-22,42
2023-03-23,44
2023-03-24,41
2023-03-25,37
2023-03-26,30
2023-03-27,42
2023-03-28,43
2023-03-29,42
2023-03-30,42
2023-03-31,40
2023-04-01,32
2023-04-02,33
2023-04-03,42
2023-04-04,44
2023-04-05,45
2023-04-06,40
2023-04-07,42
2023-04-08,33
2023-04-09,30
2023-04-10,39
2023-04-11,45
2023-04-12,41
2023-04-13,43
2023-04-14,42
2023-04-15,32
2023-04-16,32
2023-04-17,41
2023-04-18,43
2023-04-19,42
2023-04-20,43
2023-04-21,41
2023-04-22,36
2023-04-23,30
2023-04-24,42
2023-04-25,43
2023-04-26,41
2023-04-27,44
2023-04-28,42
2023-04-29,28
2023-04-30,29
2023-05-01,37
2023-05-02,41
2023-05-03,41
2023-05-04,43
2023-05-05,41
2023-05-06,36
2023-05-07,31
2023-05-08,41
2023-05-09,43
2023-05-10,41
2023-05-11,39
2023-05-12,38
2023-05-13,25
2023-05-14,30
2023-05-15,40
2023-05-16,42
2023-05-17,40
2023-05-18,39
2023-05-19,40
2023-05-20,25
2023-05-21,26
2023-05-22,44
2023-05-23,45
2023-05-24,47
2023-05-25,41
2023-05-26,44
2023-05-27,30
2023-05-28,27
2023-05-29,31
2023-05-30,42
2023-05-31,42
2023-06-01,42
2023-06-02,36
2023-06-03,35
2023-06-04,25
2023-06-05,43
2023-06-06,42
2023-06-07,40
2023-06-08,42
2023-06-09,42
2023-06-10,33
2023-06-11,30
2023-06-12,40
2023-06-13,43
2023-06-14,40
2023-06-15,43
2023-06-16,39
2023-06-17,31
2023-06-18,27
2023-06-19,39
2023-06-20,43
2023-06-21,46
2023-06-22,41
2023-06-23,40
2023-06-24,30
2023-06-25,32
2023-06-26,44
2023-06-27,44
2023-06-28,42
2023-06-29,42
2023-06-30,42
2023-07-01,32
2023-07-02,33
2023-07-03,41
2023-07-04,39
2023-07-05,41
2023-07-06,43
2023-07-07,40
2023-07-08,33
2023-07-09,22
2023-07-10,40
2023-07-11,42
2023-07-12,40
2023-07-13,39
2023-07-14,37
2023-07-15,26
2023-07-16,28
2023-07-17,40
2023-07-18,40
2023-07-19,37
2023-07-20,39
2023-07-21,39
2023-07-22,30
2023-07-23,27
2023-07-24,39
2023-07-25,42
2023-07-26,39
2023-07-27,40
2023-07-28,40
2023-07-29,33
2023-07-30,29
2023-07-31,37
2023-08-01,42
2023-08-02,41
2023-08-03,39
2023-08-04,37
2023-08-05,30
2023-08-06,27
2023-08-07,35
2023-08-08,43
2023-08-09,37
2023-08-10,41
2023-08-11,37
2023-08-12,31
2023-08-13,29
2023-08-14,38
2023-08-15,43
2023-08-16,43
2023-08-17,38
2023-08-18,38
2023-08-19,31
2023-08-20,31
2023-08-21,45
2023-08-22,39
2023-08-23,43
2023-08-24,42
2023-08-25,37
2023-08-26,35
2023-08-27,29
2023-08-28,40
2023-08-29,40
2023-08-30,40
2023-08-31,42
2023-09-01,39
2023-09-02,31
2023-09-03,29
2023-09-04,37
2023-09-05,43
2023-09-06,40
2023-09-07,40
2023-09-08,40
2023-09-09,31
2023-09-10,29
2023-09-11,40
2023-09-12,41
2023-09-13,41
2023-09-14,40
2023-09-15,40
2023-09-16,32
2023-09-17,30
2023-09-18,41
2023-09-19,43
2023-09-20,43
2023-09-21,39
2023-09-22,41
2023-09-23,29
2023-09-24,29
2023-09-25,43
2023-09-26,40
2023-09-27,44
2023-09-28,43
2023-09-29,40
2023-09-30,30
2023-10-01,26
2023-10-02,44
2023-10-03,39
2023-10-04,40
2023-10-05,42
2023-10-06,38
2023-10-07,32
2023-10-08,28
2023-10-09,37
2023-10-10,41
2023-10-11,42
2023-10-12,43
2023-10-13,44
2023-10-14,32
2023-10-15,29
2023-10-16,38
2023-10-17,40
2023-10-18,39
2023-10-19,40
2023-10-20,40
2023-10-21,29
2023-10-22,32
2023-10-23,44
2023-10-24,45
2023-10-25,42
2023-10-26,40
2023-10-27,42
2023-10-28,33
2023-10-29,27
2023-10-30,41
2023-10-31,43
2023-11-01,41
2023-11-02,43
2023-11-03,39
2023-11-04,29
2023-11-05,29
2023-11-06,40
2023-11-07,41
2023-11-08,41
2023-11-09,39
2023-11-10,41
2023-11-11,32
2023-11-12,32
2023-11-13,43
2023-11-14,42
2023-11-15,44
2023-11-16,39
2023-11-17,42
2023-11-18,33
2023-11-19,30
2023-11-20,40
2023-11-21,39
2023-11-22,40
2023-11-23,40
2023-11-24,36
2023-11-25,26
2023-11-26,29
2023-11-27,42
2023-11-28,42
2023-11-29,40
2023-11-30,44
2023-12-01,40
2023-12-02,26
2023-12-03,28
2023-12-04,41
2023-12-05,42
2023-12-06,40
2023-12-07,42
2023-12-08,41
2023-12-09,28
2023-12-10,28
2023-12-11,37
2023-12-12,39
2023-12-13,41
2023-12-14,43
2023-12-15,38
2023-12-16,30
2023-12-17,33
2023-12-18,38
2023-12-19,39
2023-12-20,38
2023-12-21,39
2023-12-22,34
2023-12-23,21
2023-12-24,24
2023-12-25,27
2023-12-26,30
2023-12-27,32
2023-12-28,36
2023-12-29,26
2023-12-30,21
2023-12-31,24
